f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,f,f,f,f
g,g,g,g,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,f,f,f,f
g,g,g,g,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,f,f,f,f
g,g,g,g,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,f,f,f,f
f,f,f,f,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,g,g,g,g
f,f,f,f,g,g,g,g,g,g,r,g,g,g,g,g,g,g,g,g,g,g,g,g
f,f,f,f,r,r,g,g,r,r,r,g,g,g,g,g,b,b,b,b,b,b,g,g
f,f,f,f,g,g,g,g,g,g,g,g,g,g,d,d,b,b,b,b,b,b,d,d
f,f,f,f,g,g,g,g,g,g,g,g,g,g,d,d,b,b,b,b,b,b,d,d
f,f,f,f,g,g,g,g,g,g,g,g,g,g,d,d,b,b,b,b,b,b,d,d
f,f,f,f,r,r,b,b,b,b,g,g,r,r,r,r,r,r,r,g,g,g,g,g
f,f,f,f,g,g,b,b,b,b,g,g,g,g,g,g,g,g,g,g,g,g,g,g
f,f,f,f,g,g,b,b,b,b,g,g,g,g,g,g,g,g,g,g,g,g,f,f
f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f
f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f
f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
