f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
b,b,b,b,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f
b,b,b,b,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f
b,b,b,b,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f
r,r,r,r,r,r,r,r,r,r,r,r,r,g,g,g,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,b,b,b,b,b,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,b,b,b,b,b,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,b,b,b,b,b,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,b,b,b,b,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,b,b,b,b,f,f,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,b,b,b,b,f,f,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,g,g,g
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,g,g,g
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,d,d,g,g,g,g,g,g
d,f,f,f,f,f,f,f,f,f,f,f,g,d,d,d,g,g,g,g,g,g,g,g
d,f,f,f,f,f,f,f,f,f,f,f,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,f,f,f,f,f,f,f,f
d,g,g,r,r,r,r,r,r,r,r,r,g,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
