f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,b,b,b,b,g,d,d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,b,b,b,b,g,d,d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,b,b,b,b,g,d,d,d,d,d,d,d,d,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m
f,f,f,f,m,m,m,m,g,g,g,g,g,d,d,d,d,d,d,g,r,r,r,r,r,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m
g,g,g,g,m,m,m,m,g,g,g,g,g,d,d,d,d,d,d,g,d,d,d,d,d,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,g,g,g,m,m,m,m
g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,d,d,d,g,d,d,d,d,d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,g,g,g,m,m,m,m
g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,d,d,d,d,d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,g,g,g,m,m,m,m
d,b,b,b,b,b,b,d,d,d,d,d,d,d,d,d,g,g,g,g,r,r,r,r,r,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,d,d,d,d,d,d,d
