m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
r,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
r,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
